method,id,name,n,meanMm,p95Mm
2. Symmetric KD-tree,14,Apical Septal,1348,4.433663368225098,5.361600399017334
2. Symmetric KD-tree,15,Apical Inferior,1609,4.660624027252197,5.440009593963623
2. Symmetric KD-tree,16,Apical Lateral,1507,4.7418975830078125,5.393355846405029
2. Symmetric KD-tree,17,Apex,5668,3.5297558307647705,4.523493766784668
3. Normal rays,1,Basal Anterior,2519,6.244884014129639,7.411200046539307
3. Normal rays,2,Basal Anteroseptal,2650,5.614516735076904,6.7666449546813965
3. Normal rays,3,Basal Inferoseptal,2624,5.184787750244141,6.698936462402344
3. Normal rays,4,Basal Inferior,2666,5.589616775512695,6.894313812255859
3. Normal rays,5,Basal Inferolateral,2410,5.242334842681885,6.522520542144775
3. Normal rays,6,Basal Anterolateral,1886,5.488708019256592,6.933184623718262
3. Normal rays,7,Mid Anterior,2084,5.530909061431885,6.966684341430664
3. Normal rays,8,Mid Anteroseptal,2003,5.590854644775391,7.241196155548096
3. Normal rays,9,Mid Inferoseptal,1729,5.503101348876953,6.970524787902832
3. Normal rays,10,Mid Inferior,2037,5.0212883949279785,6.151429176330566
3. Normal rays,11,Mid Inferolateral,2199,6.04017448425293,6.845724582672119
3. Normal rays,12,Mid Anterolateral,1669,5.3349761962890625,5.9423136711120605
3. Normal rays,13,Apical Anterior,1564,5.138514995574951,5.970789909362793
3. Normal rays,14,Apical Septal,1348,4.698606014251709,5.639362812042236
3. Normal rays,15,Apical Inferior,1609,4.818856239318848,5.616180896759033
3. Normal rays,16,Apical Lateral,1507,4.926958084106445,5.553135395050049
3. Normal rays,17,Apex,5668,4.159326076507568,6.380810260772705
4. EDT boundary sum,1,Basal Anterior,2519,13.77474594116211,14.631577491760254
4. EDT boundary sum,2,Basal Anteroseptal,2650,14.33432674407959,14.90884780883789
4. EDT boundary sum,3,Basal Inferoseptal,2624,14.7752685546875,14.90884780883789
4. EDT boundary sum,4,Basal Inferior,2666,14.257864952087402,14.252462387084961
4. EDT boundary sum,5,Basal Inferolateral,2410,13.252182960510254,14.252462387084961
4. EDT boundary sum,6,Basal Anterolateral,1886,12.283455848693848,12.716605186462402
4. EDT boundary sum,7,Mid Anterior,2084,12.295085906982422,12.82984733581543
4. EDT boundary sum,8,Mid Anteroseptal,2003,11.721704483032227,14.348295211791992
4. EDT boundary sum,9,Mid Inferoseptal,1729,12.03900146484375,14.90884780883789
4. EDT boundary sum,10,Mid Inferior,2037,12.126683235168457,14.252462387084961
4. EDT boundary sum,11,Mid Inferolateral,2199,8.26435661315918,13.76201343536377
4. EDT boundary sum,12,Mid Anterolateral,1669,8.68249797821045,12.5
4. EDT boundary sum,13,Apical Anterior,1564,9.928825378417969,11.567381858825684
4. EDT boundary sum,14,Apical Septal,1348,11.174537658691406,11.567381858825684
4. EDT boundary sum,15,Apical Inferior,1609,10.998629570007324,12.044068336486816
4. EDT boundary sum,16,Apical Lateral,1507,8.557619094848633,11.567381858825684
4. EDT boundary sum,17,Apex,5668,10.55663776397705,11.567381858825684
5. EDT medial axis,1,Basal Anterior,2519,8.469156265258789,11.26734733581543
5. EDT medial axis,2,Basal Anteroseptal,2650,8.838836669921875,8.838834762573242
5. EDT medial axis,3,Basal Inferoseptal,2624,7.576325416564941,9.88211727142334
5. EDT medial axis,4,Basal Inferior,2666,3.259331226348877,3.125
5. EDT medial axis,5,Basal Inferolateral,2410,4.1421098709106445,8.838834762573242
5. EDT medial axis,6,Basal Anterolateral,1886,5.762115478515625,8.838834762573242
5. EDT medial axis,7,Mid Anterior,2084,11.142929077148438,12.5
5. EDT medial axis,8,Mid Anteroseptal,2003,9.19072151184082,11.26734733581543
5. EDT medial axis,9,Mid Inferoseptal,1729,10.20736312866211,11.26734733581543
5. EDT medial axis,10,Mid Inferior,2037,8.814810752868652,11.26734733581543
5. EDT medial axis,11,Mid Inferolateral,2199,4.578390598297119,9.88211727142334
5. EDT medial axis,12,Mid Anterolateral,1669,8.151509284973145,12.5
5. EDT medial axis,13,Apical Anterior,1564,8.852245330810547,8.838834762573242
5. EDT medial axis,14,Apical Septal,1348,9.47966480255127,9.88211727142334
5. EDT medial axis,15,Apical Inferior,1609,9.88661003112793,11.26734733581543
5. EDT medial axis,16,Apical Lateral,1507,6.5610198974609375,9.88211727142334
5. EDT medial axis,17,Apex,5668,9.272065162658691,11.26734733581543
6. Laplace field,1,Basal Anterior,2519,2.7442588806152344,3.1243386268615723
6. Laplace field,2,Basal Anteroseptal,2650,2.52437686920166,3.092766046524048
6. Laplace field,3,Basal Inferoseptal,2624,2.8312034606933594,3.10821533203125
6. Laplace field,4,Basal Inferior,2666,3.082078456878662,3.10821533203125
6. Laplace field,5,Basal Inferolateral,2410,2.843111038208008,3.1000375747680664
